mpirun -n 16 ./new_main

Overall Global Histogram
[0 - 0.015625]: 0.0156284
[0.015625 - 0.03125]: 0.015621
[0.03125 - 0.046875]: 0.0156257
[0.046875 - 0.0625]: 0.0156225
[0.0625 - 0.078125]: 0.0156292
[0.078125 - 0.09375]: 0.0156241
[0.09375 - 0.109375]: 0.0156239
[0.109375 - 0.125]: 0.0156264
[0.125 - 0.140625]: 0.0156278
[0.140625 - 0.15625]: 0.0156272
[0.15625 - 0.171875]: 0.0156281
[0.171875 - 0.1875]: 0.0156229
[0.1875 - 0.203125]: 0.015624
[0.203125 - 0.21875]: 0.0156242
[0.21875 - 0.234375]: 0.0156219
[0.234375 - 0.25]: 0.015631
[0.25 - 0.265625]: 0.0156261
[0.265625 - 0.28125]: 0.0156289
[0.28125 - 0.296875]: 0.0156272
[0.296875 - 0.3125]: 0.0156233
[0.3125 - 0.328125]: 0.0156256
[0.328125 - 0.34375]: 0.0156252
[0.34375 - 0.359375]: 0.0156272
[0.359375 - 0.375]: 0.0156222
[0.375 - 0.390625]: 0.0156253
[0.390625 - 0.40625]: 0.0156264
[0.40625 - 0.421875]: 0.0156225
[0.421875 - 0.4375]: 0.0156235
[0.4375 - 0.453125]: 0.0156229
[0.453125 - 0.46875]: 0.015619
[0.46875 - 0.484375]: 0.0156253
[0.484375 - 0.5]: 0.0156283
[0.5 - 0.515625]: 0.0156235
[0.515625 - 0.53125]: 0.0156245
[0.53125 - 0.546875]: 0.0156317
[0.546875 - 0.5625]: 0.0156267
[0.5625 - 0.578125]: 0.0156263
[0.578125 - 0.59375]: 0.0156264
[0.59375 - 0.609375]: 0.015626
[0.609375 - 0.625]: 0.0156253
[0.625 - 0.640625]: 0.0156274
[0.640625 - 0.65625]: 0.0156245
[0.65625 - 0.671875]: 0.0156258
[0.671875 - 0.6875]: 0.0156241
[0.6875 - 0.703125]: 0.0156263
[0.703125 - 0.71875]: 0.0156245
[0.71875 - 0.734375]: 0.0156227
[0.734375 - 0.75]: 0.0156223
[0.75 - 0.765625]: 0.0156197
[0.765625 - 0.78125]: 0.0156295
[0.78125 - 0.796875]: 0.0156254
[0.796875 - 0.8125]: 0.0156267
[0.8125 - 0.828125]: 0.0156258
[0.828125 - 0.84375]: 0.0156221
[0.84375 - 0.859375]: 0.0156206
[0.859375 - 0.875]: 0.0156222
[0.875 - 0.890625]: 0.0156236
[0.890625 - 0.90625]: 0.0156261
[0.90625 - 0.921875]: 0.0156238
[0.921875 - 0.9375]: 0.015621
[0.9375 - 0.953125]: 0.0156279
[0.953125 - 0.96875]: 0.0156228
[0.96875 - 0.984375]: 0.0156265
[0.984375 - 1]: 0.0156214

